0, B, 31.75 
0, C, 48.29 
0, D, 44.52 
0, E, 32.49 
0, A, 10.00 
1, B, 30.76 
1, C, 46.93 
1, D, 43.29 
1, E, 31.04 
1, A, 9.89 
2, B, 29.72 
2, C, 45.50 
2, D, 42.00 
2, E, 29.52 
2, A, 9.78 
3, B, 28.64 
3, C, 44.01 
3, D, 40.65 
3, E, 27.94 
3, A, 9.67 
4, B, 27.16 
4, C, 41.96 
4, D, 38.81 
4, E, 25.76 
4, A, 9.54 
5, B, 24.11 
5, C, 37.68 
5, D, 34.97 
5, E, 21.20 
5, A, 9.41 
6, B, 9.49 
6, C, 16.99 
6, D, 16.43 
6, E, -0.90 
6, A, 9.26 
7, B, -9.48 
7, C, -9.85 
7, D, -7.61 
7, E, -29.57 
7, A, 9.05 
8, B, -19.98 
8, C, -24.63 
8, D, -20.87 
8, E, -45.35 
8, A, 8.78 
9, B, -31.39 
9, C, -40.71 
9, D, -35.29 
9, E, -62.51 
9, A, 8.48 
10, B, -17.11 
10, C, -20.29 
10, D, -17.05 
10, E, -40.67 
10, A, 8.14 
11, B, -4.99 
11, C, -2.97 
11, D, -1.58 
11, E, -22.13 
11, A, 7.85 
12, B, -0.46 
12, C, 3.58 
12, D, 4.25 
12, E, -15.12 
12, A, 7.59 
13, B, 3.28 
13, C, 8.98 
13, D, 9.06 
13, E, -9.33 
13, A, 7.35 
14, B, 4.69 
14, C, 11.09 
14, D, 10.92 
14, E, -7.07 
14, A, 7.12 
15, B, 5.55 
15, C, 12.39 
15, D, 12.07 
15, E, -5.66 
15, A, 6.90 
16, B, 6.39 
16, C, 13.67 
16, D, 13.19 
16, E, -4.27 
16, A, 6.69 
17, B, 7.73 
17, C, 15.67 
17, D, 14.96 
17, E, -2.13 
17, A, 6.47 
18, B, 9.04 
18, C, 17.61 
18, D, 16.68 
18, E, -0.03 
18, A, 6.27 
19, B, 9.83 
19, C, 18.82 
19, D, 17.73 
19, E, 1.27 
19, A, 6.07 
20, B, 12.03 
20, C, 22.03 
20, D, 20.59 
20, E, 4.71 
20, A, 5.87 
21, B, 14.14 
21, C, 25.10 
21, D, 23.32 
21, E, 8.01 
21, A, 5.68 
22, B, 19.43 
22, C, 32.68 
22, D, 30.08 
22, E, 16.12 
22, A, 5.51 
23, B, 24.00 
23, C, 39.23 
23, D, 35.92 
23, E, 23.12 
23, A, 5.36 
24, B, 26.98 
24, C, 43.52 
24, D, 39.75 
24, E, 27.72 
24, A, 5.23 
